model	sampleSize	rep	alpha	mu
kreg	1000	52	0.400000	0.000254
kreg	1000	53	0.400000	0.000976
kreg	1000	54	0.400000	0.002480
kreg	1000	55	0.400000	0.011728
kreg	1000	56	0.400000	0.001478
kreg	1000	57	0.400000	0.002751
kreg	1000	58	0.400000	0.007750
kreg	1000	59	0.400000	0.001639
kreg	1000	60	0.400000	0.001639
kreg	1000	61	0.400000	0.000312
kreg	1000	62	0.400000	0.000880
kreg	1000	63	0.400000	0.001639
kreg	1000	64	0.400000	0.001201
kreg	1000	65	0.400000	0.000880
kreg	1000	66	0.400000	0.001818
kreg	1000	67	0.400000	0.001332
kreg	1000	68	0.400000	0.001083
kreg	1000	69	0.400000	0.003384
kreg	1000	70	0.400000	0.001332
kreg	1000	71	0.400000	0.004163
kreg	1000	72	0.400000	0.001083
kreg	1000	73	0.400000	0.000976
kreg	1000	74	0.400000	0.003051
kreg	1000	75	0.400000	0.000716
kreg	1000	76	0.400000	0.001083
kreg	1000	77	0.400000	0.001478
kreg	1000	78	0.400000	0.002480
kreg	1000	79	0.400000	0.000716
kreg	1000	80	0.400000	0.001332
kreg	1000	81	0.400000	0.002751
kreg	1000	82	0.400000	0.001478
kreg	1000	83	0.400000	0.001478
kreg	1000	84	0.400000	0.000880
kreg	1000	85	0.400000	0.006300
kreg	1000	86	0.400000	0.001201
kreg	1000	87	0.400000	0.002236
kreg	1000	88	0.400000	0.002236
kreg	1000	89	0.400000	0.001332
kreg	1000	90	0.400000	0.003384
kreg	1000	91	0.400000	0.003384
kreg	1000	92	0.400000	0.001201
kreg	1000	93	0.400000	0.002480
kreg	1000	94	0.400000	0.004163
kreg	1000	95	0.400000	0.004163
kreg	1000	96	0.400000	0.002236
kreg	1000	97	0.400000	0.002236
kreg	1000	98	0.400000	0.003753
kreg	1000	99	0.400000	0.000976
kreg	1000	100	0.400000	0.000282
kreg	3000	1	0.400000	0.001083
kreg	3000	2	0.400000	0.000312
kreg	3000	3	0.400000	0.000645
kreg	3000	4	0.400000	0.000524
kreg	3000	5	0.400000	0.000645
kreg	3000	6	0.400000	0.000186
kreg	3000	7	0.400000	0.000524
kreg	3000	8	0.400000	0.000473
kreg	3000	9	0.400000	0.001332
kreg	3000	10	0.400000	0.000206
kreg	3000	11	0.400000	0.000100
kreg	3000	12	0.400000	0.003384
kreg	3000	13	0.400000	0.007750
kreg	3000	14	0.400000	0.000473
kreg	3000	15	0.400000	0.000794
kreg	3000	16	0.400000	0.000582
kreg	3000	17	0.400000	0.005680
kreg	3000	18	0.400000	0.000282
kreg	3000	19	0.400000	0.000186
kreg	3000	20	0.400000	0.000976
kreg	3000	21	0.400000	0.000524
kreg	3000	22	0.400000	0.000794
kreg	3000	23	0.400000	0.000880
kreg	3000	24	0.400000	0.000312
kreg	3000	25	0.400000	0.000645
kreg	3000	26	0.400000	0.001639
kreg	3000	27	0.400000	0.000473
kreg	3000	28	0.400000	0.000473
kreg	3000	29	0.400000	0.001478
kreg	3000	30	0.400000	0.000716
kreg	3000	31	0.400000	0.001818
kreg	3000	32	0.400000	0.000976
kreg	3000	33	0.400000	0.004163
kreg	3000	34	0.400000	0.000206
kreg	3000	35	0.400000	0.001332
kreg	3000	36	0.400000	0.000186
kreg	3000	37	0.400000	0.000426
kreg	3000	38	0.400000	0.001201
kreg	3000	39	0.400000	0.000716
kreg	3000	40	0.400000	0.000794
kreg	3000	41	0.400000	0.000282
kreg	3000	42	0.400000	0.000880
kreg	3000	43	0.400000	0.000206
kreg	3000	44	0.400000	0.000384
kreg	3000	45	0.400000	0.011728
kreg	3000	46	0.400000	0.001639
kreg	3000	47	0.400000	0.000582
kreg	3000	48	0.400000	0.000473
kreg	3000	49	0.400000	0.000347
kreg	3000	50	0.400000	0.000716
kreg	3000	51	0.400000	0.000347
kreg	3000	52	0.400000	0.000151
kreg	3000	53	0.400000	0.000473
kreg	3000	54	0.400000	0.001201
kreg	3000	55	0.400000	0.003753
kreg	3000	56	0.400000	0.000645
kreg	3000	57	0.400000	0.001083
kreg	3000	58	0.400000	0.003384
kreg	3000	59	0.400000	0.000880
kreg	3000	60	0.400000	0.000794
kreg	3000	61	0.400000	0.000186
kreg	3000	62	0.400000	0.000426
kreg	3000	63	0.400000	0.000794
kreg	3000	64	0.400000	0.000426
kreg	3000	65	0.400000	0.000473
kreg	3000	66	0.400000	0.000582
kreg	3000	67	0.400000	0.000582
kreg	3000	68	0.400000	0.000473
kreg	3000	69	0.400000	0.001332
kreg	3000	70	0.400000	0.000645
kreg	3000	71	0.400000	0.001639
kreg	3000	72	0.400000	0.000524
kreg	3000	73	0.400000	0.000524
kreg	3000	74	0.400000	0.001083
kreg	3000	75	0.400000	0.000254
kreg	3000	76	0.400000	0.000473
kreg	3000	77	0.400000	0.000794
kreg	3000	78	0.400000	0.001201
kreg	3000	79	0.400000	0.000473
kreg	3000	80	0.400000	0.000582
kreg	3000	81	0.400000	0.001083
kreg	3000	82	0.400000	0.000582
kreg	3000	83	0.400000	0.000716
kreg	3000	84	0.400000	0.000347
kreg	3000	85	0.400000	0.002751
kreg	3000	86	0.400000	0.000524
kreg	3000	87	0.400000	0.000645
kreg	3000	88	0.400000	0.000794
kreg	3000	89	0.400000	0.000312
kreg	3000	90	0.400000	0.001639
kreg	3000	91	0.400000	0.001083
kreg	3000	92	0.400000	0.000384
kreg	3000	93	0.400000	0.000976
kreg	3000	94	0.400000	0.001818
kreg	3000	95	0.400000	0.002016
kreg	3000	96	0.400000	0.000976
kreg	3000	97	0.400000	0.000880
kreg	3000	98	0.400000	0.001201
kreg	3000	99	0.400000	0.000384
kreg	3000	100	0.400000	0.000229
mreg	300	1	NaN	0.029907
mreg	300	2	NaN	0.013985
mreg	300	3	NaN	0.009564
mreg	300	4	NaN	0.010855
mreg	300	5	NaN	0.006540
mreg	300	6	NaN	0.003471
mreg	300	7	NaN	0.008426
mreg	300	8	NaN	0.012321
mreg	300	9	NaN	0.018018
mreg	300	10	NaN	0.007423
mreg	300	11	NaN	0.002091
mreg	300	12	NaN	0.072593
mreg	300	13	NaN	0.072593
mreg	300	14	NaN	0.008426
mreg	300	15	NaN	0.010855
mreg	300	16	NaN	0.015874
mreg	300	17	NaN	0.056345
mreg	300	18	NaN	0.001623
mreg	300	19	NaN	0.002374
mreg	300	20	NaN	0.012321
mreg	300	21	NaN	0.004472
mreg	300	22	NaN	0.012321
mreg	300	23	NaN	0.023213
mreg	300	24	NaN	0.004472
mreg	300	25	NaN	0.020451
mreg	300	26	NaN	0.038531
mreg	300	27	NaN	0.012321
mreg	300	28	NaN	0.003058
mreg	300	29	NaN	0.029907
mreg	300	30	NaN	0.023213
mreg	300	31	NaN	0.038531
mreg	300	32	NaN	0.020451
mreg	300	33	NaN	0.038531
mreg	300	34	NaN	0.007423
mreg	300	35	NaN	0.018018
mreg	300	36	NaN	0.020451
mreg	300	37	NaN	0.012321
mreg	300	38	NaN	0.023213
mreg	300	39	NaN	0.023213
mreg	300	40	NaN	0.015874
mreg	300	41	NaN	0.007423
mreg	300	42	NaN	0.029907
mreg	300	43	NaN	0.001842
mreg	300	44	NaN	0.005076
mreg	300	45	NaN	0.106156
mreg	300	46	NaN	0.043734
mreg	300	47	NaN	0.007423
mreg	300	48	NaN	0.012321
mreg	300	49	NaN	0.009564
mreg	300	50	NaN	0.012321
mreg	300	51	NaN	0.007423
mreg	300	52	NaN	0.005762
mreg	300	53	NaN	0.005076
mreg	300	54	NaN	0.023213
mreg	300	55	NaN	0.063955
mreg	300	56	NaN	0.018018
mreg	300	57	NaN	0.033946
mreg	300	58	NaN	0.038531
mreg	300	59	NaN	0.010855
mreg	300	60	NaN	0.015874
mreg	300	61	NaN	0.003940
mreg	300	62	NaN	0.003058
mreg	300	63	NaN	0.029907
mreg	300	64	NaN	0.008426
mreg	300	65	NaN	0.015874
mreg	300	66	NaN	0.015874
mreg	300	67	NaN	0.008426
mreg	300	68	NaN	0.004472
mreg	300	69	NaN	0.015874
mreg	300	70	NaN	0.013985
mreg	300	71	NaN	0.020451
mreg	300	72	NaN	0.005762
mreg	300	73	NaN	0.013985
mreg	300	74	NaN	0.018018
mreg	300	75	NaN	0.003471
mreg	300	76	NaN	0.004472
mreg	300	77	NaN	0.018018
mreg	300	78	NaN	0.005762
mreg	300	79	NaN	0.006540
mreg	300	80	NaN	0.006540
mreg	300	81	NaN	0.026348
mreg	300	82	NaN	0.009564
mreg	300	83	NaN	0.010855
mreg	300	84	NaN	0.012321
mreg	300	85	NaN	0.026348
mreg	300	86	NaN	0.005076
mreg	300	87	NaN	0.018018
mreg	300	88	NaN	0.015874
mreg	300	89	NaN	0.008426
mreg	300	90	NaN	0.026348
mreg	300	91	NaN	0.038531
mreg	300	92	NaN	0.005076
mreg	300	93	NaN	0.018018
mreg	300	94	NaN	0.020451
mreg	300	95	NaN	0.026348
mreg	300	96	NaN	0.013985
mreg	300	97	NaN	0.026348
mreg	300	98	NaN	0.029907
mreg	300	99	NaN	0.003058
mreg	300	100	NaN	0.005076
mreg	1000	1	NaN	0.018018
mreg	1000	2	NaN	0.004472
mreg	1000	3	NaN	0.003940
mreg	1000	4	NaN	0.005076
mreg	1000	5	NaN	0.003471
mreg	1000	6	NaN	0.001260
mreg	1000	7	NaN	0.003940
mreg	1000	8	NaN	0.005076
mreg	1000	9	NaN	0.012321
mreg	1000	10	NaN	0.001110
mreg	1000	11	NaN	0.000862
mreg	1000	12	NaN	0.038531
mreg	1000	13	NaN	0.056345
mreg	1000	14	NaN	0.003058
mreg	1000	15	NaN	0.005762
mreg	1000	16	NaN	0.008426
mreg	1000	17	NaN	0.033946
mreg	1000	18	NaN	0.001110
mreg	1000	19	NaN	0.000759
mreg	1000	20	NaN	0.005076
mreg	1000	21	NaN	0.002091
mreg	1000	22	NaN	0.007423
mreg	1000	23	NaN	0.009564
mreg	1000	24	NaN	0.002091
mreg	1000	25	NaN	0.005762
mreg	1000	26	NaN	0.023213
mreg	1000	27	NaN	0.005076
mreg	1000	28	NaN	0.001110
mreg	1000	29	NaN	0.013985
mreg	1000	30	NaN	0.009564
mreg	1000	31	NaN	0.020451
mreg	1000	32	NaN	0.010855
mreg	1000	33	NaN	0.026348
mreg	1000	34	NaN	0.002374
mreg	1000	35	NaN	0.008426
mreg	1000	36	NaN	0.006540
mreg	1000	37	NaN	0.004472
mreg	1000	38	NaN	0.008426
mreg	1000	39	NaN	0.008426
mreg	1000	40	NaN	0.006540
mreg	1000	41	NaN	0.002694
mreg	1000	42	NaN	0.012321
mreg	1000	43	NaN	0.000589
mreg	1000	44	NaN	0.002694
mreg	1000	45	NaN	0.063955
mreg	1000	46	NaN	0.026348
mreg	1000	47	NaN	0.003471
mreg	1000	48	NaN	0.004472
mreg	1000	49	NaN	0.002694
mreg	1000	50	NaN	0.005762
mreg	1000	51	NaN	0.003471
mreg	1000	52	NaN	0.000978
mreg	1000	53	NaN	0.002374
mreg	1000	54	NaN	0.012321
mreg	1000	55	NaN	0.043734
mreg	1000	56	NaN	0.007423
mreg	1000	57	NaN	0.015874
mreg	1000	58	NaN	0.023213
mreg	1000	59	NaN	0.003940
mreg	1000	60	NaN	0.005762
mreg	1000	61	NaN	0.001110
mreg	1000	62	NaN	0.001842
mreg	1000	63	NaN	0.012321
mreg	1000	64	NaN	0.004472
mreg	1000	65	NaN	0.006540
mreg	1000	66	NaN	0.007423
mreg	1000	67	NaN	0.003471
mreg	1000	68	NaN	0.003058
mreg	1000	69	NaN	0.010855
mreg	1000	70	NaN	0.005076
mreg	1000	71	NaN	0.009564
mreg	1000	72	NaN	0.002374
mreg	1000	73	NaN	0.004472
mreg	1000	74	NaN	0.008426
mreg	1000	75	NaN	0.001623
mreg	1000	76	NaN	0.002374
mreg	1000	77	NaN	0.007423
mreg	1000	78	NaN	0.005076
mreg	1000	79	NaN	0.002694
mreg	1000	80	NaN	0.002694
mreg	1000	81	NaN	0.013985
mreg	1000	82	NaN	0.005076
mreg	1000	83	NaN	0.003940
mreg	1000	84	NaN	0.004472
mreg	1000	85	NaN	0.018018
mreg	1000	86	NaN	0.002374
mreg	1000	87	NaN	0.008426
mreg	1000	88	NaN	0.005762
mreg	1000	89	NaN	0.003058
mreg	1000	90	NaN	0.013985
mreg	1000	91	NaN	0.018018
mreg	1000	92	NaN	0.002374
mreg	1000	93	NaN	0.009564
mreg	1000	94	NaN	0.010855
mreg	1000	95	NaN	0.013985
mreg	1000	96	NaN	0.007423
mreg	1000	97	NaN	0.010855
mreg	1000	98	NaN	0.013985
mreg	1000	99	NaN	0.001260
mreg	1000	100	NaN	0.001260
mreg	3000	1	NaN	0.008426
mreg	3000	2	NaN	0.001842
mreg	3000	3	NaN	0.002091
mreg	3000	4	NaN	0.002374
mreg	3000	5	NaN	0.001623
mreg	3000	6	NaN	0.000589
mreg	3000	7	NaN	0.001842
mreg	3000	8	NaN	0.001623
mreg	3000	9	NaN	0.005762
mreg	3000	10	NaN	0.000355
mreg	3000	11	NaN	0.000313
mreg	3000	12	NaN	0.020451
