model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
mreg	3000	0.300000	0.350000	15440	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.350000	0.400000	15260	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.400000	0.450000	15114	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.450000	0.500000	15080	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.500000	0.550000	14797	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.550000	0.600000	14719	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.600000	0.650000	14672	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.650000	0.700000	14312	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.700000	0.750000	14145	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.750000	0.800000	13925	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.800000	0.850000	13945	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.850000	0.900000	13583	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.900000	0.950000	13351	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
mreg	3000	0.950000	1.000000	16885	15000.000000	1081.433467	0.00000	0.019473	1.05802e-11	0.050340	300000	0
kreg	300	0.000000	0.050000	1683	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.050000	0.100000	1659	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.100000	0.150000	1591	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.150000	0.200000	1611	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.200000	0.250000	1570	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.250000	0.300000	1620	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.300000	0.350000	1636	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.350000	0.400000	1497	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.400000	0.450000	1451	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.450000	0.500000	1482	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.500000	0.550000	1456	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.550000	0.600000	1432	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.600000	0.650000	1536	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.650000	0.700000	1368	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.700000	0.750000	1360	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.750000	0.800000	1277	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.800000	0.850000	1288	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.850000	0.900000	1313	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.900000	0.950000	1311	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	300	0.950000	1.000000	1859	1500.000000	306.017333	0.00000	0.029823	1.38112e-13	0.084333	30000	0
kreg	1000	0.000000	0.050000	5323	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.050000	0.100000	5395	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.100000	0.150000	5315	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.150000	0.200000	5320	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.200000	0.250000	5272	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.250000	0.300000	5148	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.300000	0.350000	5192	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.350000	0.400000	5167	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.400000	0.450000	5151	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.450000	0.500000	5093	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.500000	0.550000	5046	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.550000	0.600000	4869	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.600000	0.650000	5012	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.650000	0.700000	4687	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.700000	0.750000	4631	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.750000	0.800000	4742	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.800000	0.850000	4565	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.850000	0.900000	4529	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
