newick	prob	novel
((D,C),(E,(F,(B,A))))	3.64209188506e-05	2
((D,C),(E,((F,B),A)))	2.19799321463e-07	3
((D,C),(E,(B,(F,A))))	2.19799321463e-07	3
(F,((D,C),((E,B),A)))	2.19799321463e-07	3
((F,(D,C)),((E,B),A))	2.19799321463e-07	3
(((F,D),C),((E,B),A))	1.32648332992e-09	4
((D,(F,C)),((E,B),A))	1.32648332992e-09	4
((D,C),(F,((E,B),A)))	2.19799321463e-07	3
((D,C),((F,(E,B)),A))	2.19799321463e-07	3
((D,C),(((F,E),B),A))	3.64209188506e-05	2
((D,C),((E,(F,B)),A))	2.19799321463e-07	3
((D,C),((E,B),(F,A)))	2.19799321463e-07	3
(F,((D,C),(B,(E,A))))	2.19799321463e-07	3
((F,(D,C)),(B,(E,A)))	2.19799321463e-07	3
(((F,D),C),(B,(E,A)))	1.32648332992e-09	4
((D,(F,C)),(B,(E,A)))	1.32648332992e-09	4
((D,C),(F,(B,(E,A))))	2.19799321463e-07	3
((D,C),((F,B),(E,A)))	2.19799321463e-07	3
((D,C),(B,(F,(E,A))))	2.19799321463e-07	3
((D,C),(B,((F,E),A)))	3.64209188506e-05	2
((D,C),(B,(E,(F,A))))	2.19799321463e-07	3
(F,(E,(C,(D,(B,A)))))	2.19799321463e-07	2
((F,E),(C,(D,(B,A))))	0.0221944423074	1
(E,(F,(C,(D,(B,A)))))	2.19799321463e-07	2
(E,((F,C),(D,(B,A))))	2.19799321463e-07	3
(E,(C,(F,(D,(B,A)))))	2.19799321463e-07	3
(E,(C,((F,D),(B,A))))	2.19799321463e-07	3
(E,(C,(D,(F,(B,A)))))	2.19799321463e-07	3
(E,(C,(D,((F,B),A))))	1.32648332992e-09	4
(E,(C,(D,(B,(F,A)))))	1.32648332992e-09	4
(F,((E,C),(D,(B,A))))	2.19799321463e-07	3
((F,(E,C)),(D,(B,A)))	2.19799321463e-07	3
(((F,E),C),(D,(B,A)))	3.64209188506e-05	2
((E,(F,C)),(D,(B,A)))	2.19799321463e-07	3
((E,C),(F,(D,(B,A))))	2.19799321463e-07	3
((E,C),((F,D),(B,A)))	2.19799321463e-07	3
((E,C),(D,(F,(B,A))))	2.19799321463e-07	3
((E,C),(D,((F,B),A)))	1.32648332992e-09	4
((E,C),(D,(B,(F,A))))	1.32648332992e-09	4
(F,(C,(E,(D,(B,A)))))	2.19799321463e-07	3
((F,C),(E,(D,(B,A))))	2.19799321463e-07	3
(C,(F,(E,(D,(B,A)))))	2.19799321463e-07	3
(C,((F,E),(D,(B,A))))	3.64209188506e-05	2
(C,(E,(F,(D,(B,A)))))	2.19799321463e-07	3
(C,(E,((F,D),(B,A))))	2.19799321463e-07	3
(C,(E,(D,(F,(B,A)))))	2.19799321463e-07	3
(C,(E,(D,((F,B),A))))	1.32648332992e-09	4
(C,(E,(D,(B,(F,A)))))	1.32648332992e-09	4
(F,(C,((E,D),(B,A))))	2.19799321463e-07	3
((F,C),((E,D),(B,A)))	2.19799321463e-07	3
(C,(F,((E,D),(B,A))))	2.19799321463e-07	3
(C,((F,(E,D)),(B,A)))	2.19799321463e-07	3
(C,(((F,E),D),(B,A)))	3.64209188506e-05	2
(C,((E,(F,D)),(B,A)))	2.19799321463e-07	3
(C,((E,D),(F,(B,A))))	2.19799321463e-07	3
(C,((E,D),((F,B),A)))	1.32648332992e-09	4
(C,((E,D),(B,(F,A))))	1.32648332992e-09	4
(F,(C,(D,(E,(B,A)))))	2.19799321463e-07	3
((F,C),(D,(E,(B,A))))	2.19799321463e-07	3
(C,(F,(D,(E,(B,A)))))	2.19799321463e-07	3
(C,((F,D),(E,(B,A))))	2.19799321463e-07	3
(C,(D,(F,(E,(B,A)))))	2.19799321463e-07	3
(C,(D,((F,E),(B,A))))	3.64209188506e-05	2
(C,(D,(E,(F,(B,A)))))	2.19799321463e-07	3
(C,(D,(E,((F,B),A))))	1.32648332992e-09	4
(C,(D,(E,(B,(F,A)))))	1.32648332992e-09	4
(F,(C,(D,((E,B),A))))	1.32648332992e-09	4
((F,C),(D,((E,B),A)))	1.32648332992e-09	4
(C,(F,(D,((E,B),A))))	1.32648332992e-09	4
(C,((F,D),((E,B),A)))	1.32648332992e-09	4
(C,(D,(F,((E,B),A))))	1.32648332992e-09	4
(C,(D,((F,(E,B)),A)))	1.32648332992e-09	4
(C,(D,(((F,E),B),A)))	2.19799321463e-07	3
(C,(D,((E,(F,B)),A)))	1.32648332992e-09	4
(C,(D,((E,B),(F,A))))	1.32648332992e-09	4
(F,(C,(D,(B,(E,A)))))	1.32648332992e-09	4
((F,C),(D,(B,(E,A))))	1.32648332992e-09	4
(C,(F,(D,(B,(E,A)))))	1.32648332992e-09	4
(C,((F,D),(B,(E,A))))	1.32648332992e-09	4
(C,(D,(F,(B,(E,A)))))	1.32648332992e-09	4
(C,(D,((F,B),(E,A))))	1.32648332992e-09	4
(C,(D,(B,(F,(E,A)))))	1.32648332992e-09	4
(C,(D,(B,((F,E),A))))	2.19799321463e-07	3
